,date,min,max,avg,range
427,2016-02-12,48,73,61.5,25
428,2016-02-13,46,71,58.77083333,25
429,2016-02-14,46,70,58.47916667,24
430,2016-02-15,48,70,59.08333333,22
431,2016-02-16,48,72,60.10416667,24
432,2016-02-17,48,70,59.125,22
433,2016-02-18,47,73,59.625,26
434,2016-02-19,47,70,58.75,23
435,2016-02-20,43,74,58.70833333,31
436,2016-02-21,42,70,56.60416667,28
437,2016-02-22,43,73,57.77083333,30
438,2016-02-23,40,71,57.33333333,31
439,2016-02-24,45,72,59.25,27
440,2016-02-25,44,73,59.83333333,29
441,2016-02-26,45,70,58.25,25
442,2016-02-27,46,72,59.22916667,26
443,2016-02-28,49,71,60.33333333,22
444,2016-02-29,45,71,59.10416667,26
445,2016-03-01,47,71,59,24
446,2016-03-02,46,70,58.25,24
447,2016-03-03,48,76,61.02083333,28
448,2016-03-04,50,71,60.625,21
449,2016-03-05,49,74,62.47916667,25
450,2016-03-06,52,75,63.5,23
451,2016-03-07,46,73,59.97916667,27
452,2016-03-08,45,72,58.60416667,27
453,2016-03-09,45,70,57.60416667,25
454,2016-03-10,47,72,61.14583333,25
455,2016-03-11,46,72,59.47916667,26
456,2016-03-12,47,70,59.10416667,23
457,2016-03-13,44,70,56.875,26
458,2016-03-14,44,70,57.08333333,26
459,2016-03-15,43,74,58.14583333,31
460,2016-03-16,44,74,59.52083333,30
461,2016-03-17,46,75,61.3125,29
462,2016-03-18,46,77,61.9375,31
463,2016-03-19,50,74,62.97916667,24
464,2016-03-20,52,74,63.20833333,22
465,2016-03-21,50,76,63.125,26
466,2016-03-22,48,76,63.29166667,28
467,2016-03-23,50,75,60.05128205,25
468,2016-03-24,47,73,58.58333333,26
469,2016-03-25,69,79,72.875,10
470,2016-03-26,72,74,72.91666667,2
471,2022-03-31,48.82912064,59.71723938,53.29826927,10.88811874
472,2022-04-01,46.04917526,52.14961243,48.92671956,6.100437164
473,2022-04-02,45.7402916,54.77511597,50.02336062,9.034824371
474,2022-04-03,46.82138443,52.84459686,49.98206896,6.023212433
475,2022-04-04,43.26922989,52.07239151,47.87136981,8.803161621
476,2022-04-05,42.18814087,55.62454224,46.63691123,13.43640137
477,2022-04-06,40.95261002,54.54345322,47.5115429,13.5908432
478,2022-04-07,46.35805893,62.18830109,52.95345754,15.83024216
479,2022-04-08,47.6708107,62.34274292,52.27026884,14.67193222
480,2022-04-09,45.27696991,53.30792236,47.83812237,8.030952454
481,2022-04-10,45.35419083,52.07239151,47.63005506,6.718200684
482,2022-04-11,44.73642349,70.14203644,51.19239624,25.40561295
483,2022-04-12,45.43141174,58.48170853,49.29995275,13.05029678
484,2022-04-13,45.35419083,55.00677872,49.10100208,9.652587891
485,2022-04-14,45.50863266,57.86394501,50.54406402,12.35531235
486,2022-04-15,43.96421814,59.33113861,49.1181625,15.36692047
487,2022-04-16,42.65146637,59.09947586,48.20116652,16.44800949
488,2022-04-17,44.58198166,65.58601379,54.48285641,21.00403214
489,2022-04-18,47.28470612,55.70176315,51.75439146,8.417057037
490,2022-04-19,45.7402916,64.58214569,52.19465664,18.8418541
491,2022-04-20,45.81751251,57.47784042,51.01811343,11.66032791
492,2022-04-21,46.51250076,61.7249794,53.24518032,15.21247864
493,2022-04-22,48.21135712,64.81380463,55.55911973,16.60244751
494,2022-04-23,48.05691528,66.1265564,56.42999766,18.06964111
495,2022-04-24,47.05304337,66.35822296,56.67292118,19.3051796
496,2022-04-25,51.06851959,60.64389038,56.04014058,9.575370789
497,2022-04-26,46.58972168,63.11495209,54.54506207,16.52523041
498,2022-04-27,46.82138443,63.50105286,54.59278862,16.67966843
499,2022-04-28,47.51636887,64.73658752,55.40950484,17.22021866
500,2022-04-29,48.59745789,68.82928467,58.05645887,20.23182678
501,2022-04-30,52.14961243,67.36209106,59.12789607,15.21247864
502,2022-05-01,48.52023697,68.44317627,57.96046925,19.9229393
503,2022-05-02,52.07239151,66.20378113,57.91488759,14.13138962
504,2022-05-03,50.52797699,66.82154846,56.95499134,16.29357147
505,2022-05-04,48.75189972,67.90263367,56.74317066,19.15073395
506,2022-05-05,50.21909332,61.95664215,54.9027439,11.73754883
507,2022-05-06,47.51636887,65.43157196,54.88343869,17.91520309
508,2022-05-07,48.44301605,61.95664215,54.39920055,13.5136261
509,2022-05-08,46.43527985,63.26939392,53.7224471,16.83411407
510,2022-05-09,48.05691528,64.27326202,54.62281897,16.21634674
511,2022-05-10,48.52023697,64.35047913,55.46420251,15.83024216
512,2022-05-11,50.14187241,62.96051025,55.99777635,12.81863785
513,2022-05-12,49.75576782,58.40448761,53.45163806,8.648719788
514,2022-05-13,46.28083801,64.65936279,54.50430663,18.37852478
515,2022-05-14,51.22296143,65.74045563,57.99264444,14.5174942
516,2022-05-15,53.77124786,62.65162659,58.21894399,8.880378723
517,2022-05-16,53.30792236,64.81380463,58.08756155,11.50588226
518,2022-05-17,49.91020966,64.89102936,56.96089,14.9808197
519,2022-05-18,50.68241882,62.11108017,55.76825937,11.42866135
520,2022-05-19,48.1341362,68.0570755,56.52545134,19.9229393
521,2022-05-20,49.98743057,68.21151733,58.36748674,18.22408676
522,2022-05-21,51.22296143,70.60536194,59.96981631,19.38240051
523,2022-05-22,51.99517059,70.37369537,60.47389595,18.37852478
524,2022-05-23,54.31179047,70.37369537,61.25950927,16.06190491
525,2022-05-24,52.92181778,64.11882019,57.98138327,11.19700241
526,2022-05-25,52.22683334,70.37369537,59.65396219,18.14686203
527,2022-05-26,52.69015503,62.34274292,57.86018954,9.652587891
528,2022-05-27,53.4623642,68.67484283,60.25349511,15.21247864
529,2022-05-28,53.30792236,68.21151733,60.73290698,14.90359497
530,2022-05-29,53.23070145,69.29261017,60.44332947,16.06190872
531,2022-05-30,52.38127518,67.74819183,59.82985375,15.36691666
532,2022-05-31,51.91794968,69.91036987,61.33351252,17.9924202
533,2022-06-01,56.24230957,69.0609436,63.22810102,12.81863403
534,2022-06-02,56.86007309,70.29647827,64.01585926,13.43640518
535,2022-06-03,57.47784042,67.28486633,62.89508669,9.807025909
536,2022-06-04,55.00677872,68.5976181,62.27142215,13.59083939
537,2022-06-05,57.63228226,67.20764923,62.44570499,9.575366974
538,2022-06-06,52.76737595,68.44317627,60.55379791,15.67580032
539,2022-06-07,52.69015503,68.90650177,61.56356544,16.21634674
540,2022-06-08,56.47397232,69.21538544,63.24365221,12.74141312
541,2022-06-09,56.01064682,66.5898819,61.06806639,10.57923508
542,2022-06-10,54.62067413,68.44317627,61.4064433,13.82250214
543,2022-06-11,55.08399963,68.75205994,62.38081837,13.6680603
544,2022-06-12,55.9334259,69.36982727,62.40494988,13.43640137
545,2022-06-13,53.53958511,68.36595917,60.62136616,14.82637405
546,2022-06-14,52.45849228,68.13430023,60.46156189,15.67580795
547,2022-06-15,53.07625961,67.0532074,60.47979466,13.97694778
548,2022-06-16,56.08786774,69.0609436,62.93798698,12.97307587
549,2022-06-17,56.62841034,67.74819183,62.16256234,11.11978149
550,2022-06-18,54.54345322,68.21151733,61.03696349,13.66806412
551,2022-06-19,54.4662323,68.520401,61.74374723,14.0541687
552,2022-06-20,54.31179047,68.21151733,61.84831709,13.89972687
553,2022-06-21,55.39287949,67.90263367,62.3212938,12.50975418
554,2022-06-22,57.94116592,69.21538544,63.65174217,11.27421951
555,2022-06-23,54.69789505,70.29647827,63.15999656,15.59858322
556,2022-06-24,56.47397232,72.99919891,65.33987268,16.52522659
557,2022-06-25,60.33500671,78.63631439,69.69962494,18.30130768
558,2022-06-26,66.04933929,81.41625977,73.78213342,15.36692047
559,2022-06-27,65.50879669,77.09189606,70.92228582,11.58309937
